"","X","pl.p","IBRA","IBRAsub","data.source","collecting.agency","planting","plot","measure.date","lat","long","year.planted","age","establishment","plot.type","planting.width","plot.area","geometry","width","aridity.index","carbon","clay","elevation.relief","elevation","nitrogen","phosphorus","ph","prec.annual","prec.season","prescott","sand","silt","slope","soil.depth","solar.annual","tmax.annual","tmin.annual","TWI","tot.ag.mass","biomass.area","plant.count","density","rare.rich","rare.rich.se","alpha","planting.old"
"1",1,"19.2","WET","WET07","QDAFF","QDAFF","19","2",2012,-17.25805556,145.6215,1993,19,"TS","Planting",NA,0.0846,"Block",5,1.50922763347626,4.80162858963013,36.8518218994141,45.7708740234375,709,0.282333369056384,0.0887365986903508,5.11619154612223,2208,76,1.47044897079468,32.0624529520671,16.0070463816325,8.2509298324585,1.20472395420074,19.0081821165427,25.9,15.9,6.63045692443848,10871.122262,128500.263144208,60,709.219858156028,2.99765065962303,0.0484131729154798,3,"A.2012"
"2",2,"19.3","WET","WET07","QDAFF","QDAFF","19","3",2012,-17.25805556,145.6215,1993,19,"TS","Planting",NA,0.09,"Block",5,1.50922763347626,4.80162858963013,36.8518218994141,45.7708740234375,709,0.282333369056384,0.0887365986903508,5.11619154612223,2208,76,1.47044897079468,32.0624529520671,16.0070463816325,8.2509298324585,1.20472395420074,19.0081821165427,25.9,15.9,6.63045692443848,12584.321739,139825.7971,60,666.666666666667,5.78720298434838,0.806998960508947,7,"A.2012"
"3",3,"20.105","WET","WET07","QDAFF","QDAFF","20","105",2012,-17.4195,145.6218611,1994,18,"TS","Planting",NA,0.09,"Block",5,1.56725537776947,5.73483896255493,45.6710090637207,38.6096801757812,744,0.247190102934837,0.039840550472339,4.48266506195068,2307,75,2.04941844940186,40.1798667907715,18.5041351318359,5.64069271087646,1.42992126941681,18.3773304969306,25.725,15.5083333333333,9.17117691040039,10203.244493,113369.383255556,60,666.666666666667,6.64407315203437,0.549802114199976,7,"AA.2012"
"4",4,"21.45","WET","WET02","QDAFF","QDAFF","21","45",2012,-18.10472222,145.828,1993,19,"TS","Planting",NA,0.09,"Block",5,1.49032258987427,4.10168743133545,22.8981119791667,19.4861526489258,34,0.12042909860611,0.0202342886477709,4.50012985865275,2310,85,1.90067923069,60.6058006286621,13.7055638631185,0.819759249687195,1.27144360542297,18.4266017643456,28.9166666666667,19.1333333333333,8.84914684295654,10957.318052,121747.978355556,60,666.666666666667,2.99999997849752,0.000146637231673487,3,"AB.2012"
"5",5,"22.a","AVW","AVW02","Greening Australia","GA-WA Avon","22","a",2009,-31.6313,116.837,1995,14,"TS","Planting",NA,0.04,"Block",5,0.255526661872864,1.58415198326111,11.360915184021,15.56396484375,218,0.0659716787437598,0.0129320528358221,5.74728568394979,393,67,0.392805933952332,81.4952646891276,2.64413102467855,0.882683992385864,0.817196905612946,20.185939711806,24.8416666666667,10.675,12.1492118835449,2718.179633,67954.490825,35,875,2.98319327731092,0.128546710426708,3,"ACOP8"
"6",6,"22.b","AVW","AVW02","Greening Australia","GA-WA Avon","22","b",2009,-31.6313,116.837,1995,14,"TS","Planting",NA,0.0625,"Block",5,0.255526661872864,1.58415198326111,11.360915184021,15.56396484375,218,0.0659716787437598,0.0129320528358221,5.74728568394979,393,67,0.392805933952332,81.4952646891276,2.64413102467855,0.882683992385864,0.817196905612946,20.185939711806,24.8416666666667,10.675,12.1492118835449,3092.853651,49485.658416,36,576,4,0,4,"ACOP8"
"7",7,"22.c","AVW","AVW02","Greening Australia","GA-WA Avon","22","c",2009,-31.6313,116.837,1995,14,"TS","Planting",NA,0.0625,"Block",5,0.255526661872864,1.58415198326111,11.360915184021,15.56396484375,218,0.0659716787437598,0.0129320528358221,5.74728568394979,393,67,0.392805933952332,81.4952646891276,2.64413102467855,0.882683992385864,0.817196905612946,20.185939711806,24.8416666666667,10.675,12.1492118835449,4597.71209,73563.39344,43,688,6.06956699747099,0.786183234707292,7,"ACOP8"
"8",8,"23.a","AVW","AVW02","Greening Australia","GA-WA Avon","23","a",2009,-31.0447,116.7229,1994,15,"DS/TS","Planting",NA,0.12,"Block",5,0.249188840389252,1.27345514297485,13.3727105458577,4.95964050292969,237,0.0579731067021688,0.0204867627471685,5.97671667734782,384,64,0.351095348596573,79.09800974528,3.32649103800456,0.17490941286087,0.817026257514954,20.7181528188839,25.2,11.6166666666667,11.2411556243896,4490.088757,37417.4063083333,27,225,4,0,4,"ADEP18"
"9",9,"23.b","AVW","AVW02","Greening Australia","GA-WA Avon","23","b",2009,-31.0447,116.7229,1994,15,"DS/TS","Planting",NA,0.12,"Block",5,0.249188840389252,1.27345514297485,13.3727105458577,4.95964050292969,237,0.0579731067021688,0.0204867627471685,5.97671667734782,384,64,0.351095348596573,79.09800974528,3.32649103800456,0.17490941286087,0.817026257514954,20.7181528188839,25.2,11.6166666666667,11.2411556243896,5214.106164,43450.8847,28,233.333333333333,4,0,4,"ADEP18"
"10",10,"23.c","AVW","AVW02","Greening Australia","GA-WA Avon","23","c",2009,-31.0447,116.7229,1994,15,"DS/TS","Planting",NA,0.12,"Block",5,0.249188840389252,1.27345514297485,13.3727105458577,4.95964050292969,237,0.0579731067021688,0.0204867627471685,5.97671667734782,384,64,0.351095348596573,79.09800974528,3.32649103800456,0.17490941286087,0.817026257514954,20.7181528188839,25.2,11.6166666666667,11.2411556243896,4788.18035,39901.5029166667,60,500,2.88135562292357,0.323369607723977,3,"ADEP18"
