species,genus,fam,div,genus.only,dead,unknown,n.fixer,tree,wood.density,SLA,seed.mass,max.height
Acacia acinacea,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia acuaria,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,0,1
Acacia acuminata,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,1,0,1,1
Acacia aestivalis,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia amoena,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia argyrophylla,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,1,0,1,1
Acacia aspera,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia assimilis,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia baileyana,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,TS,TS,1,1
Acacia boormanii,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia brachybotrya,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,1,1,1
Acacia burkittii,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,1,1,1
Acacia buxifolia,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,JM,JM,1,1
Acacia calamifolia,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia cardiophylla,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia cheelii,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,0,1,1,1
Acacia colletioides,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,1,1,1
Acacia concurrens,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,1,1,1,1
Acacia covenyi,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,0,0,1,1
Acacia cupularis,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia cyclops,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,1,1,1
Acacia dealbata,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,1,1,1,1
Acacia deanei,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,TS,1,1,1
Acacia decora,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,TS,1,1,1
Acacia decurrens,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,1,1,1,1
Acacia difformis,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia disparrima,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,JM,0,1,1
Acacia euthycarpa,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia falcata,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,1,1,1
Acacia falciformis,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,TS,TS,1,1
Acacia fimbriata,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,JM,JM,1,1
Acacia floribunda,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,TS,1,1,1
Acacia genistifolia,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,1,1,1
Acacia gladiiformis,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia glaucocarpa,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,1,JM,1,1
Acacia hakeoides,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,1,1,1
Acacia harpophylla,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,1,1,1,1
Acacia hemiteles,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
Acacia homalophylla,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,1,1,1,1
Acacia howittii,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,0,0,1,1
Acacia implexa,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,1,1,1,1
Acacia irrorata,Acacia,Mimosaceae,Anthophyta,0,0,0,1,1,1,1,1,1
Acacia iteaphylla,Acacia,Mimosaceae,Anthophyta,0,0,0,1,0,0,0,1,1
