"","Estimate","Std. Error","t value"
"(Intercept)",0.0822414278517532,0.0337162676488169,2.43922099291554
"aridity.index",-0.0143483722411379,0.0201867592968799,-0.710781360698918
"solar.annual",-0.0334212296885799,0.014890507428866,-2.24446546554829
"SLA",0.0365469144646042,0.0140144105968832,2.6078095979814
"WD",-0.0330974216620318,0.0179802856556805,-1.84076172625074
"MH",-0.0821716456779761,0.0177134009668487,-4.63895362792067
"log.age",-0.111175414815394,0.007137514933339,-15.5762076652336
"density",-0.0512996131592784,0.00454198261881149,-11.2945419356761
"intra.sp.prop",-0.0214887287984831,0.00337574512859253,-6.36562535970909
"plot.area",-0.00247095213642373,0.00750596706097238,-0.329198371955502
"n.rarerich",0.0121007930616884,0.00617466522726327,1.95974884731552
"FEve",0.0104731329273715,0.00380664000714301,2.75128010731749
"FDis",-0.00900420146704222,0.00468304470002697,-1.92272379270485
"genusEucalyptus",0.164144942475571,0.0340305195083327,4.82346272837177
"intra.sp.prop:plot.area",-0.0153719525668132,0.00279561566192093,-5.49859294902176
"aridity.index:genusEucalyptus",0.0332055316513261,0.01617771031384,2.05254829065141
"solar.annual:genusEucalyptus",0.0328750399350503,0.00678874912494433,4.84257693575028
"SLA:genusEucalyptus",-0.0307488238129905,0.0304266191770549,-1.01058956415961
"WD:genusEucalyptus",0.0181184818873127,0.0201579255071764,0.898826711154496
"MH:genusEucalyptus",0.0745863079111358,0.022103078284522,3.37447603229845
"log.age:genusEucalyptus",0.0495781392485831,0.00461820447445733,10.7353711865278
"density:genusEucalyptus",0.0134792272088918,0.00371013152128757,3.63308608645064
"intra.sp.prop:genusEucalyptus",0.0148500294298321,0.00467629584533723,3.17559665191825
"plot.area:genusEucalyptus",0.0138911770001384,0.00466174407603258,2.9798240258527
"n.rarerich:genusEucalyptus",-0.0112881663912595,0.00552096839560243,-2.04459898742597
"FEve:genusEucalyptus",-0.0132197215962842,0.00403879396023017,-3.2731854425995
"FDis:genusEucalyptus",0.00132931229114671,0.00460519783612158,0.288654763259037
"aridity.index:solar.annual",0.0306935846442777,0.0112063859920803,2.73893694773401
"aridity.index:SLA",0.00907512114975114,0.00516690360150622,1.7563945158771
"aridity.index:WD",-0.0460689069305769,0.00982520481851469,-4.68884952339765
"aridity.index:MH",0.000505272433508438,0.00843375423464186,0.0599107371937658
"aridity.index:log.age",-0.0270121779683701,0.00775984945621553,-3.48101830077821
"aridity.index:density",-0.0232856780244013,0.00478227882931618,-4.86915942283754
"aridity.index:intra.sp.prop",0.0180439466554371,0.004242154915088,4.25348602693893
"aridity.index:plot.area",0.0290921627243541,0.00843914566049186,3.44728766331763
"aridity.index:n.rarerich",0.00828913658493777,0.00659011015470522,1.25781457219186
"aridity.index:FEve",0.00883551837807029,0.00346087930770806,2.55296922906033
"aridity.index:FDis",-0.00493940654664745,0.00481329003078197,-1.02620172793639
"intra.sp.prop:plot.area:genusEucalyptus",0.0171432122693631,0.00405908884308099,4.22341390693751
"aridity.index:intra.sp.prop:plot.area",0.0137868688820305,0.00387961605680368,3.55366837340835
"aridity.index:solar.annual:genusEucalyptus",-0.0451930613995513,0.00620696168808957,-7.28102792808782
"aridity.index:SLA:genusEucalyptus",0.0143908439848146,0.0086813349471908,1.65767639105681
"aridity.index:WD:genusEucalyptus",0.027504694967763,0.011377467219177,2.41747081647515
"aridity.index:MH:genusEucalyptus",-0.0290742779537065,0.0107014250840514,-2.71686039245714
"aridity.index:log.age:genusEucalyptus",0.0444732584248842,0.00539500955257902,8.24340679871906
"aridity.index:density:genusEucalyptus",0.0219014278404175,0.00414012420970962,5.29004124780923
"aridity.index:intra.sp.prop:genusEucalyptus",-0.0170830913978787,0.00561234310179044,-3.04384302385734
"aridity.index:plot.area:genusEucalyptus",-0.0282665545086511,0.00561500914434764,-5.03410658504549
"aridity.index:n.rarerich:genusEucalyptus",-0.0103091370908889,0.00643098770825901,-1.60304101928999
"aridity.index:FEve:genusEucalyptus",-0.00743243580425047,0.00356300559368211,-2.08600172209373
"aridity.index:FDis:genusEucalyptus",0.00129448699236764,0.0046111310874101,0.280730902641657
"aridity.index:intra.sp.prop:plot.area:genusEucalyptus",-0.0194981360423628,0.00511147305889114,-3.81458257095707
