"","Estimate","Std. Error","t value"
"(Intercept)",0.222513810319818,0.0187740413537488,11.8522062526184
"aridity.index",-0.0104738897081266,0.0148761150745302,-0.704074259687544
"solar.annual",-0.0239462387361451,0.0140793613994331,-1.70080432320669
"SLA",-0.000371372831029122,0.0107862931352321,-0.0344300703098897
"WD",-0.0123786647689103,0.00858384866808004,-1.44208795466557
"MH",-0.0122245321540826,0.00715390900764067,-1.70879055646729
"log.age",-0.0767740945463108,0.00649607125269542,-11.8185425559264
"density",-0.0441588555844693,0.00389555114378774,-11.3357144995747
"intra.sp.prop",-0.0128682498774684,0.00200510001535027,-6.41775960249066
"plot.area",0.00903346874111384,0.00712301890987114,1.26820788424346
"n.rarerich",0.00172638868886603,0.00493668803702947,0.349705850545265
"FEve",0.00148002024628816,0.00278858711283779,0.530741980221672
"FDis",-0.00647129184751703,0.00373410178384636,-1.73302502773537
"intra.sp.prop:plot.area",-0.00555953604695575,0.00187237692204413,-2.96923978366826
"aridity.index:solar.annual",0.00648751381168164,0.0101770868194678,0.637462755969778
"aridity.index:SLA",-0.00821812113314213,0.00266228144847766,-3.08687165207172
"aridity.index:WD",-0.0452055661485187,0.00446551505895684,-10.1232591429395
"aridity.index:MH",-0.00748086567569851,0.00315115774993704,-2.37400545112284
"aridity.index:log.age",-0.00177904553520294,0.00685208503763554,-0.259635647460796
"aridity.index:density",-0.00729072383140114,0.00384764268608042,-1.89485470097749
"aridity.index:intra.sp.prop",0.00462472533184392,0.00229051631434693,2.01907548218556
"aridity.index:plot.area",0.0107841551733542,0.0078236997229588,1.37839584278879
"aridity.index:n.rarerich",-0.000413862719598924,0.00465065916536985,-0.0889901205146714
"aridity.index:FEve",0.0024080035476609,0.00226860639366253,1.06144616112684
"aridity.index:FDis",-0.000791775707900468,0.00326909050371708,-0.242200608089678
"aridity.index:intra.sp.prop:plot.area",-0.00156654431124514,0.00228863361324464,-0.684488902976575
