"","Estimate","Std. Error","t value"
"(Intercept)",0.197264254773136,0.0249434776858806,7.90845034751505
"aridity.index",-0.0082375229590894,0.0146639145914841,-0.561754701154167
"solar.annual",-0.0217982375619351,0.0150434677450202,-1.4490168045962
"SLA",0.00381686034689341,0.011800338854113,0.323453452827167
"WD",0.00181033160189678,0.0079678382236488,0.227204864240799
"MH",-0.0270577393624606,0.0101760748488287,-2.65895640160067
"log.age",-0.0751576947157535,0.0064769632484282,-11.6038476417158
"density",-0.0421842211453128,0.00379024894241751,-11.1296703161684
"intra.sp.prop",-0.0119078723710866,0.00193458346065294,-6.15526422781862
"plot.area",0.00650657719381359,0.00688942113836582,0.944430172453786
"n.rarerich",0.00213762547626444,0.00489744592943756,0.43647760629997
"FEve",0.00118921081532017,0.0027380821639332,0.434322545533802
"FDis",-0.00855729286459786,0.00370128749385126,-2.31197735350567
"genusEucalyptus",0.0468059914360441,0.0264346999752719,1.77062692142632
"intra.sp.prop:plot.area",-0.0071655990561323,0.00183389654177218,-3.90730823299762
