"","Estimate","Std. Error","t value"
"(Intercept)",0.128834435955835,0.0302316995147858,4.26156775912727
"aridity.index",-0.00341418465983263,0.0147511663106185,-0.231451845090714
"solar.annual",-0.0345052829003377,0.015160037638964,-2.27606841896309
"SLA",0.0267602717864963,0.0127920066187169,2.09195262198672
"WD",0.0126117848764827,0.0148115703993513,0.851481952044399
"MH",-0.0633665166120878,0.0161405364516116,-3.92592382552197
"log.age",-0.102756106800983,0.00708908754061055,-14.4949693754428
"density",-0.0527030298134037,0.00447403444255954,-11.7797550488353
"intra.sp.prop",-0.0216024742272106,0.00316906691530432,-6.8166671151329
"plot.area",-0.00471332826749634,0.00725739094398284,-0.649452165919793
"n.rarerich",0.0138003741860034,0.00612113597634247,2.25454462036791
"FEve",0.00871800774163238,0.00371993691482348,2.34359021167596
"FDis",-0.0101150374594912,0.00462710163526756,-2.18604177232565
"genusEucalyptus",0.113415736866256,0.030909305857725,3.66930714614901
"intra.sp.prop:plot.area",-0.0146089553998605,0.00265982308813284,-5.49245378951719
"aridity.index:genusEucalyptus",-0.00320393164967426,0.00618096044129306,-0.518354983841961
"solar.annual:genusEucalyptus",0.0304944961769676,0.00622328115888289,4.90006724723353
"SLA:genusEucalyptus",-0.0304207122049294,0.0284849577299005,-1.06795707732425
"WD:genusEucalyptus",-0.0169403585655011,0.0170821585639072,-0.991698941449611
"MH:genusEucalyptus",0.0691433214026913,0.0202547286677598,3.4136878620719
"log.age:genusEucalyptus",0.0400528109328206,0.00451469439957531,8.87165495334266
"density:genusEucalyptus",0.0202003642382428,0.0036075021093516,5.59954329226258
"intra.sp.prop:genusEucalyptus",0.0192414342653872,0.00450451218918512,4.27159111958536
"plot.area:genusEucalyptus",0.0157929962858823,0.00446704649869933,3.53544479344031
"n.rarerich:genusEucalyptus",-0.0142240680684033,0.00545702602584356,-2.60656042339554
"FEve:genusEucalyptus",-0.0115804028219778,0.00384663892170578,-3.01052504736849
"FDis:genusEucalyptus",-0.000513132706791455,0.00448906067822153,-0.114307367080355
"intra.sp.prop:plot.area:genusEucalyptus",0.0140435798534055,0.00392603123602839,3.57704231299293
